offset,time_ms
-256,177.004
-255,168.537
-254,164.031
-253,165.077
-252,162.795
-251,163.799
-250,158.076
-249,166.057
-248,161.408
-247,161.016
-246,110.92
-245,161.492
-244,161.032
-243,161.26
-242,160.772
-241,161.192
-240,166.766
-239,161.566
-238,160.363
-237,160.319
-236,160.38
-235,160.284
-234,160.146
-233,160.026
-232,160.128
-231,160.039
-230,160.15
-229,159.858
-228,160.119
-227,159.98
-226,160.22
-225,160.088
-224,160.092
-223,159.866
-222,160.104
-221,160.137
-220,160.232
-219,160.224
-218,159.851
-217,162.738
-216,161.382
-215,169.296
-214,163.517
-213,163.266
-212,165.699
-211,161.317
-210,160.406
-209,165.05
-208,161.967
-207,162.274
-206,163.182
-205,162.211
-204,165.438
-203,161.524
-202,165.523
-201,164.364
-200,161.738
-199,166.607
-198,161.245
-197,160.492
-196,162.219
-195,163.313
-194,160.334
-193,161.147
-192,165.503
-191,163.461
-190,168.95
-189,165.388
-188,160.635
-187,163.401
-186,164.442
-185,163.673
-184,165.497
-183,162.788
-182,164.964
-181,103.849
-180,113.41
-179,163.592
-178,163.674
-177,161.148
-176,163.554
-175,161.052
-174,160.686
-173,161.985
-172,160.708
-171,159.991
-170,160.325
-169,160.103
-168,160.096
-167,160.263
-166,160.183
-165,160.159
-164,160.022
-163,160.343
-162,160.026
-161,159.933
-160,160.042
-159,160.201
-158,159.81
-157,159.895
-156,159.921
-155,160.053
-154,160.288
-153,140.026
-152,161.665
-151,160.205
-150,160.4
-149,160.217
-148,159.75
-147,160.032
-146,160.056
-145,160.019
-144,163.074
-143,160.429
-142,159.993
-141,160.125
-140,159.945
-139,160.197
-138,160.051
-137,160.176
-136,159.874
-135,159.972
-134,160.382
-133,160.012
-132,160.254
-131,160.226
-130,160.073
-129,159.909
-128,160.012
-127,159.938
-126,159.881
-125,160.441
-124,160.13
-123,159.952
-122,160.139
-121,150.211
-120,159.904
-119,165.539
-118,160.247
-117,159.941
-116,160.148
-115,159.94
-114,159.758
-113,160.047
-112,159.893
-111,159.779
-110,159.953
-109,159.971
-108,159.888
-107,160.013
-106,160.137
-105,160.404
-104,160.508
-103,160
-102,159.811
-101,159.862
-100,159.949
-99,160.004
-98,159.762
-97,160.157
-96,159.847
-95,159.952
-94,160.02
-93,159.975
-92,160.505
-91,160.705
-90,163.504
-89,160.057
-88,160.427
-87,160.139
-86,159.833
-85,160.147
-84,159.903
-83,160.003
-82,159.931
-81,160.012
-80,160.024
-79,159.942
-78,159.884
-77,159.878
-76,159.784
-75,160.09
-74,160.059
-73,160.024
-72,160.009
-71,160.071
-70,159.897
-69,160.045
-68,160.111
-67,160.051
-66,159.999
-65,160.024
-64,160.06
-63,159.914
-62,159.902
-61,160.045
-60,160.057
-59,140.292
-58,159.954
-57,160.02
-56,160.081
-55,159.97
-54,160.054
-53,159.937
-52,160.124
-51,159.802
-50,160.217
-49,160.132
-48,159.983
-47,160.193
-46,160.012
-45,159.962
-44,160.024
-43,159.961
-42,160.069
-41,160.14
-40,159.983
-39,160.035
-38,160.001
-37,159.914
-36,160.016
-35,159.914
-34,160.192
-33,159.918
-32,159.851
-31,159.989
-30,160.177
-29,159.879
-28,160.251
-27,168.584
-26,160.565
-25,160.033
-24,159.837
-23,159.787
-22,160.062
-21,159.89
-20,159.869
-19,160.078
-18,159.815
-17,159.923
-16,159.926
-15,159.838
-14,159.777
-13,159.985
-12,159.862
-11,159.881
-10,160.78
-9,159.903
-8,159.903
-7,160.007
-6,160.139
-5,160.015
-4,159.909
-3,159.963
-2,160.011
-1,159.939
